guid,tag
1943,negative
727,negative
5102,positive
2033,positive
3129,negative
3962,negative
838,negative
3301,positive
3282,positive
5032,positive
123,positive
3393,positive
1464,positive
3546,negative
1927,negative
2689,negative
493,positive
2544,positive
4425,neutral
330,neutral
414,negative
900,positive
1411,positive
2816,negative
4362,negative
4113,neutral
3795,negative
3852,positive
3592,positive
4093,positive
924,positive
3429,negative
4583,positive
441,positive
1349,positive
4957,positive
539,negative
598,positive
4204,negative
1833,positive
1559,positive
2465,positive
1998,positive
846,positive
1118,positive
2090,positive
1246,negative
241,positive
3151,positive
5077,negative
516,neutral
1164,positive
3460,neutral
786,negative
762,positive
3734,negative
4881,positive
665,positive
2993,negative
982,positive
3032,positive
856,negative
2786,neutral
1515,negative
3620,neutral
568,negative
3530,positive
4698,neutral
4670,positive
4352,negative
4225,negative
3618,positive
4736,positive
4701,positive
1502,negative
2742,negative
4828,positive
779,neutral
2097,positive
2879,positive
3437,positive
1640,positive
105,neutral
3951,negative
2932,positive
1698,negative
978,positive
525,positive
4671,neutral
2053,positive
4722,positive
1223,positive
1181,positive
1626,positive
1562,positive
1271,positive
2533,positive
4706,positive
2749,positive
1852,positive
3836,positive
3913,positive
857,neutral
2892,positive
4183,negative
3959,positive
2714,negative
491,positive
4000,positive
4966,negative
213,positive
1676,negative
2376,positive
1149,positive
183,positive
1496,positive
3635,positive
571,positive
1859,positive
3997,negative
4518,positive
1373,negative
4404,positive
2584,negative
5002,negative
4241,positive
3636,negative
3144,positive
2587,positive
3340,positive
4499,positive
2985,neutral
4849,negative
3916,negative
1608,positive
182,positive
3272,positive
4155,negative
4129,neutral
119,negative
4628,positive
1860,positive
4731,positive
4833,positive
4882,positive
3859,positive
829,positive
5075,negative
4941,positive
3993,positive
1889,positive
4024,positive
3537,neutral
4783,positive
1981,positive
4675,positive
1976,positive
5114,positive
3109,positive
4316,positive
1776,negative
3874,positive
4236,positive
4290,negative
1272,positive
3469,positive
695,positive
2864,neutral
4498,positive
419,positive
1565,negative
2424,positive
4767,positive
1862,neutral
521,positive
2651,negative
1986,positive
3730,positive
4747,positive
921,negative
5021,positive
3991,positive
2798,positive
542,negative
3983,positive
2158,negative
696,positive
1988,positive
1575,negative
692,positive
4677,positive
3142,positive
218,positive
1101,positive
3841,positive
345,negative
506,positive
2886,positive
4433,negative
3675,positive
4775,positive
379,negative
736,positive
3669,negative
4044,positive
994,neutral
1865,negative
2012,neutral
4107,negative
1347,negative
4521,positive
2345,negative
1824,positive
2437,positive
1579,neutral
2145,positive
1639,positive
4818,negative
5081,negative
2961,negative
3597,positive
2436,positive
2951,positive
4152,positive
2884,positive
1521,positive
4588,positive
4257,positive
4154,negative
142,neutral
1954,positive
1714,neutral
5096,negative
4968,positive
3772,negative
1996,positive
59,positive
2339,negative
41,negative
1759,positive
1382,positive
4280,positive
3086,positive
628,negative
3533,neutral
3420,negative
385,negative
2830,positive
4571,negative
3972,positive
937,negative
316,negative
39,neutral
4145,neutral
3366,positive
933,positive
2142,positive
1796,positive
181,neutral
4416,negative
2126,negative
3097,positive
4640,negative
144,positive
536,positive
1448,positive
92,positive
1378,negative
578,positive
4182,negative
1074,positive
1661,neutral
4723,positive
3049,positive
3935,negative
1007,positive
3123,negative
3489,positive
2617,negative
750,negative
689,negative
3085,positive
2856,positive
3237,positive
3013,positive
1947,negative
1013,positive
3576,positive
3547,negative
1470,positive
423,positive
3687,positive
3440,positive
3981,negative
3378,positive
3389,positive
111,positive
3188,positive
248,negative
1810,positive
2852,positive
215,positive
3169,negative
171,positive
4779,positive
1238,neutral
4320,positive
3116,positive
2041,positive
400,negative
3892,negative
1878,negative
2560,positive
2025,negative
2106,positive
1899,positive
2547,negative
2619,negative
4806,positive
4359,negative
2897,positive
675,positive
508,positive
2447,neutral
4856,negative
1038,positive
1748,positive
746,positive
4181,positive
72,negative
3899,positive
920,negative
277,positive
3718,positive
5055,negative
503,positive
784,negative
5091,positive
2979,neutral
2975,negative
644,positive
4473,positive
4261,positive
685,negative
2404,negative
4674,positive
3798,positive
2101,positive
461,negative
3294,positive
3377,neutral
1292,positive
1005,negative
1618,positive
1973,positive
545,positive
2994,positive
2789,positive
2014,positive
1505,positive
1897,positive
3910,positive
523,positive
1923,positive
834,positive
1694,negative
104,neutral
4848,negative
2530,positive
4331,negative
1247,negative
853,positive
1053,positive
1712,negative
4252,positive
1835,negative
5052,positive
2426,positive
1695,negative
3858,positive
1188,neutral
1570,positive
4097,positive
3404,positive
271,positive
4300,negative
4586,positive
5073,negative
318,negative
2977,positive
1920,positive
3041,neutral
2853,positive
4780,positive
614,neutral
2813,positive
4116,neutral
3940,positive
1131,positive
4020,positive
2720,neutral
1763,positive
3096,positive
4936,positive
1544,negative
155,neutral
3133,negative
2620,positive
122,positive
4551,negative
4210,negative
3416,negative
2723,neutral
1202,negative
622,positive
5094,negative
1391,positive
4262,negative
2164,positive
389,negative
5014,positive
4975,positive
4886,positive
2329,negative
768,negative
3101,positive
1219,positive
3496,negative
179,negative
4421,negative
2905,positive
4850,negative
3077,negative
4867,positive
3600,positive
4108,neutral
4651,positive
1286,negative
4234,positive
1084,positive
2370,neutral
4622,negative
1070,positive
408,positive
3936,positive
1736,positive
3799,positive
4248,positive
850,positive
1062,positive
719,negative
1366,positive
714,positive
4072,positive
3678,neutral
4529,positive
2561,neutral
1808,neutral
1461,positive
222,positive
1380,negative
843,positive
3215,positive
3677,positive
1305,negative
2874,positive
211,neutral
3640,positive
1477,positive
3357,positive
2596,positive
2966,positive
4976,positive
4005,negative
4810,positive
1278,neutral
1741,negative
2871,positive
3555,negative
2039,negative
3569,negative
745,positive
4711,negative
1702,positive
3338,positive
2605,negative
4422,negative
914,positive
233,positive
975,positive
655,positive
1419,neutral
2747,negative
3138,positive
3500,positive
26,neutral
1405,positive
29,positive
4213,positive
4649,positive
497,positive
2340,negative
1257,negative
996,positive
603,positive
1518,positive
3507,positive
3825,negative
2075,negative
4157,negative
2613,positive
5126,positive
3818,positive
2791,positive
1873,negative
163,positive
2489,positive
630,positive
1079,positive
237,positive
2001,negative
4390,negative
1472,positive
1335,positive
302,negative
1479,positive
4295,negative
3290,positive
3069,positive
3692,positive
3720,positive
75,negative
788,neutral
2765,positive
3434,negative
1242,neutral
2125,negative
3577,neutral
2959,negative
2375,neutral
1258,positive
520,positive
1944,positive
1299,positive
2034,positive
3653,positive
2817,negative
327,negative
3262,positive
2665,neutral
3433,negative
1176,positive
4258,negative
4216,positive
2657,positive
1911,neutral
1630,positive
486,negative
5051,positive
4798,neutral
4773,positive
1701,positive
4143,neutral
4454,positive
428,neutral
2531,positive
1804,positive
5060,positive
1318,positive
3894,negative
1456,positive
284,positive
172,positive
4126,positive
1162,neutral
3524,negative
1925,positive
4337,negative
3926,positive
4475,positive
1421,positive
231,positive
4305,positive
502,neutral
3903,positive
4297,negative
4509,positive
1045,neutral
3347,negative
1961,negative
3283,negative
4756,negative
4127,negative
382,negative
3334,positive
1117,negative
1416,positive
377,negative
1129,negative
2514,negative
5070,negative
217,positive
1231,positive
1103,positive
2984,neutral
855,positive
4610,positive
765,positive
2965,positive
1160,positive
5071,neutral
3782,negative
1752,positive
3018,positive
4411,positive
1819,negative
3929,positive
4004,negative
2328,negative
3688,positive
797,positive
3968,negative
4423,negative
1277,positive
4343,negative
2038,neutral
684,positive
3992,negative
1076,positive
3778,negative
743,positive
3805,positive
4559,positive
21,positive
2708,neutral
4427,negative
613,positive
862,positive
433,neutral
229,positive
2865,negative
3605,neutral
890,positive
131,negative
4122,neutral
1787,positive
2612,positive
3977,negative
913,positive
4797,negative
3408,positive
564,positive
4118,positive
1811,negative
4120,positive
68,positive
1042,neutral
2502,positive
3792,negative
305,positive
2434,positive
80,negative
1259,positive
1928,negative
4956,positive
4209,positive
3490,positive
3465,positive
3344,negative
905,neutral
5121,positive
2788,neutral
811,positive
1293,negative
3581,negative
2064,negative
1361,positive
658,positive
2379,neutral
5049,negative
2731,neutral
4543,negative
411,positive
1577,negative
3130,negative
1172,positive
2377,positive
676,negative
78,positive
3375,neutral
1221,positive
3619,positive
1447,positive
1072,positive
1488,negative
3779,negative
3820,positive
2910,positive
833,positive
3363,positive
23,positive
3759,positive
2887,negative
4835,positive
515,positive
3857,positive
1599,neutral
1308,neutral
148,positive
1711,positive
5018,positive
3590,positive
962,neutral
3811,positive
4996,positive
2926,positive
651,positive
1276,positive
4889,positive
4386,negative
4142,neutral
770,positive
3744,positive
3017,neutral
500,positive
4893,positive
669,neutral
3790,positive
1030,positive
4019,negative
2589,positive
4876,negative
2000,positive
2987,positive
1962,positive
2940,negative
4927,positive
2564,negative
4766,positive
1593,negative
267,positive
3256,negative
2553,positive
3304,positive
1240,positive
157,positive
1617,positive
3814,positive
789,positive
1208,positive
3121,positive
627,neutral
1313,positive
3147,negative
852,positive
4727,positive
3486,positive
4351,positive
1066,positive
4658,negative
3132,positive
6,positive
3824,negative
3472,positive
82,positive
4512,positive
3299,neutral
422,negative
884,negative
1453,positive
2081,positive
4631,positive
1415,positive
4749,positive
966,positive
4156,negative
47,positive
1953,positive
4495,positive
457,negative
3356,negative
11,positive
756,positive
147,positive
3155,negative
2371,neutral
1123,negative
2648,positive
4717,negative
247,positive
3887,negative
4137,positive
3856,neutral
2028,positive
1469,positive
1984,positive
3212,neutral
4464,negative
4908,negative
3700,positive
4682,positive
3604,positive
604,positive
2942,positive
3583,negative
320,negative
2725,neutral
1628,positive
3939,positive
3704,positive
3176,positive
186,negative
2997,positive
485,negative
4340,positive
109,positive
1198,positive
4008,negative
3120,positive
2365,positive
4686,negative
118,negative
3461,positive
3522,negative
4049,positive
1705,negative
1322,positive
3313,negative
3353,negative
4928,positive
3532,positive
2,positive
1550,positive
5100,positive
4863,neutral
4862,positive
3134,negative
1829,negative
1558,positive
185,positive
2030,positive
1837,neutral
4136,negative
1289,positive
232,negative
1082,positive
4805,positive
505,neutral
2040,negative
1710,negative
4382,positive
3352,positive
4923,negative
2147,negative
4188,negative
2623,positive
2780,positive
3973,positive
1924,negative
4635,neutral
4851,negative
3390,positive
992,negative
3060,negative
4079,negative
556,positive
3727,negative
3007,negative
5093,positive
2138,positive
2381,positive
4099,positive
2774,negative
1666,positive
4169,positive
2159,positive
2814,positive
3113,positive
5024,positive
308,positive
1138,negative
1799,positive
5064,negative
3893,positive
4655,positive
3867,negative
4380,negative
989,positive
908,negative
3696,positive
4937,positive
2883,positive
800,positive
101,positive
2641,negative
3379,positive
3419,negative
2840,negative
1346,positive
381,positive
4605,positive
1615,positive
3286,positive
3737,positive
3009,positive
255,negative
4414,negative
3217,positive
3448,negative
4105,neutral
1002,positive
2822,positive
2130,positive
4691,positive
4519,positive
3308,positive
3373,positive
1009,positive
4819,negative
633,negative
4894,positive
4098,neutral
2662,negative
2790,neutral
3741,positive
3668,negative
1116,positive
4060,positive
276,positive
2954,positive
3776,negative
3234,positive
3342,positive
4222,negative
897,positive
1078,negative
2861,positive
668,negative
1493,positive
348,negative
1500,positive
2448,neutral
1282,neutral
4626,positive
2551,negative
28,positive
4073,negative
1597,positive
4443,positive
2760,positive
2701,positive
1155,positive
1744,positive
4436,positive
2771,positive
2944,negative
2048,positive
548,positive
2035,positive
4697,positive
5076,negative
894,positive
2740,positive
615,positive
2851,positive
1766,positive
3394,negative
4250,positive
722,positive
220,positive
3225,negative
5041,positive
583,positive
4053,neutral
3830,negative
4740,positive
3,positive
4403,negative
4921,negative
283,positive
192,positive
2820,positive
3278,negative
3474,neutral
3652,negative
4752,positive
1815,positive
4994,negative
4868,positive
3735,negative
662,positive
2538,positive
3316,neutral
2690,negative
4203,negative
1681,negative
2118,negative
4751,positive
950,positive
514,positive
4253,positive
4597,negative
667,negative
1636,positive
3952,negative
4413,negative
2079,positive
260,negative
311,positive
3911,positive
416,positive
3816,positive
230,positive
816,positive
4951,positive
3563,negative
2017,positive
4141,neutral
1786,positive
1367,negative
3376,positive
2674,negative
3787,negative
368,positive
3078,negative
2529,positive
584,positive
2023,positive
1524,positive
1143,positive
3937,positive
3050,negative
3890,positive
5128,positive
4432,positive
3984,negative
4091,neutral
4043,positive
918,positive
683,positive
2624,positive
3199,positive
115,positive
1262,positive
420,positive
3345,positive
643,positive
3610,positive
1495,positive
2877,positive
2982,negative
1960,positive
193,positive
3367,positive
325,positive
2380,positive
1475,positive
27,neutral
3247,negative
4133,positive
1693,negative
66,positive
4033,positive
3697,positive
4917,negative
2454,neutral
5078,negative
4089,neutral
4083,positive
1784,negative
256,positive
3645,positive
4006,negative
3337,negative
5029,positive
4229,positive
1654,positive
2051,positive
673,positive
3819,negative
2058,neutral
3261,positive
4334,positive
810,positive
822,positive
3985,positive
546,neutral
930,negative
3560,positive
3837,positive
4778,positive
2513,positive
602,negative
4950,positive
2063,negative
1549,neutral
1754,negative
1721,positive
3509,negative
826,negative
361,negative
65,positive
4289,negative
1265,negative
468,positive
5033,positive
2144,positive
3684,positive
343,positive
1760,positive
399,positive
875,negative
1716,positive
710,positive
1788,positive
339,positive
1154,positive
3970,positive
